match_id,date,venue,batting_team,opponent,innings,runs,balls,dismissed,century,fifty
1144490,2019-06-05,The Rose Bowl,India,South Africa,2,18,34,True,False,False
1144496,2019-06-09,Kennington Oval,India,Australia,1,82,79,True,False,True
1144504,2019-06-16,Old Trafford,India,Pakistan,1,77,66,True,False,True
1144516,2019-06-27,Old Trafford,India,West Indies,1,72,83,True,False,True
1144520,2019-06-30,Edgbaston,India,England,2,66,76,True,False,True
1144522,2019-07-02,Edgbaston,India,Bangladesh,1,26,27,True,False,False
1144526,2019-07-06,Headingley,India,Sri Lanka,2,34,42,False,False,False
1144528,2019-07-09,Old Trafford,India,New Zealand,2,1,6,True,False,False
1188625,2019-08-11,"Queen's Park Oval, Trinidad",India,West Indies,1,120,131,True,True,False
1188626,2019-08-14,"Queen's Park Oval, Trinidad",India,West Indies,2,114,102,False,True,False
1187021,2019-12-15,"MA Chidambaram Stadium, Chepauk",India,West Indies,1,4,4,True,False,False
